City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Kapoeta,SS,88.2,scattered clouds,4.7717,33.5903,Eastgate Hotel
602,Takoradi,GH,81.39,light rain,4.8845,-1.7554,Raybow International Hotel
609,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
614,Pagudpud,PH,77.36,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
615,Teknaf,BD,82.87,broken clouds,20.8624,92.3058,Forestry Guesthouse
618,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
624,Ewing,US,88.65,few clouds,40.2698,-74.7999,Element Ewing Princeton
627,Tabou,CI,78.49,moderate rain,4.423,-7.3528,hotêl doufoulougou
628,Narasapur,IN,87.1,overcast clouds,16.45,81.6667,UDIPI HOTEL COMFORTINN
631,Sola,VU,81.75,few clouds,-13.8833,167.55,Leumerus Bungalows
635,Brindisi,IT,81.59,clear sky,40.5833,17.6667,Agriturismo Tibitone
640,Palmerston,AU,78.78,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
642,Gunzburg,DE,82.53,broken clouds,48.45,10.2667,EuroHotel Günzburg
646,Bonthe,SL,81.21,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
652,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
656,Galle,LK,79.65,broken clouds,6.0367,80.217,Amangalla
659,Black River,JM,88.83,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
663,Moerai,PF,76.62,clear sky,-22.4333,-151.3333,Le Manotel
664,Edgewater,US,86.09,scattered clouds,28.9889,-80.9023,Islander Beach Resort
668,Canutama,BR,87.13,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
671,Ponnani,IN,76.32,overcast clouds,10.767,75.9252,Rouba Residency
673,Kavaratti,IN,82.08,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
674,Tautira,PF,79.11,light rain,-17.7333,-149.15,Pension Oaoa
679,Kutum,SD,88.65,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
680,Caracoli,CO,81.79,overcast clouds,6.4119,-74.7606,EcoHostel Caracolí
682,Kulhudhuffushi,MV,83.14,broken clouds,6.6221,73.07,Haajy Guest House 1
687,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
691,Altamira,BR,86.09,broken clouds,-3.2033,-52.2064,Requinte Hotel
692,Howell,US,81.52,broken clouds,42.6073,-83.9294,Kensington Inn
693,Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
698,Funtua,NG,89.33,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
699,Avila,ES,78.66,overcast clouds,40.5833,-5.0,El Carrascal
700,Rafsanjan,IR,84.0,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
704,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
705,Pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
707,Porto Torres,IT,77.18,clear sky,40.835,8.3972,Hotel Elisa
713,Kieta,PG,78.46,light rain,-6.2167,155.6333,Uruna Bay Retreat
714,Ratnagiri,IN,76.91,overcast clouds,16.9833,73.3,Hotel Landmark
715,Ambulu,ID,76.48,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
723,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
724,Key Largo,US,89.01,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
