City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,Chuy,-33.6971,-53.4616,55.94,81,100,11.43,UY,2022-05-19 00:51:10
192,Vila,42.0304,-8.1588,47.7,86,100,2.73,PT,2022-05-19 00:55:41
193,Huarmey,-10.0681,-78.1522,65.97,87,87,8.37,PE,2022-05-19 00:55:41
194,Atambua,-9.1061,124.8925,81.45,65,82,3.71,ID,2022-05-19 00:55:42
195,Mayo,38.8876,-76.5119,67.51,73,40,5.75,US,2022-05-19 00:55:42
196,Bilibino,68.0546,166.4372,36.25,100,100,1.19,RU,2022-05-19 00:55:42
197,Rocha,-34.4833,-54.3333,51.49,86,12,8.9,UY,2022-05-19 00:55:43
198,Poltavka,54.3663,71.7632,56.35,62,3,17.18,RU,2022-05-19 00:55:44
199,Knysna,-34.0363,23.0471,63.84,84,100,4.5,ZA,2022-05-19 00:55:44
200,Presidencia Roque Saenz Pena,-26.7852,-60.4388,44.47,75,0,1.12,AR,2022-05-19 00:55:44
201,Lebu,-37.6167,-73.65,51.48,88,100,9.84,CL,2022-05-19 00:55:45
202,Victoria,22.2855,114.1577,79.97,64,98,8.01,HK,2022-05-19 00:52:51
203,Canguaretama,-6.38,-35.1289,77.07,86,37,3.29,BR,2022-05-19 00:55:46
204,Lavrentiya,65.5833,-171.0,33.94,99,85,6.15,RU,2022-05-19 00:55:46
205,San Matias,-16.3667,-58.4,53.91,37,21,4.9,BO,2022-05-19 00:55:46
206,Ambilobe,-13.2,49.05,65.98,86,11,3.56,MG,2022-05-19 00:55:47
207,Baykit,61.67,96.37,52.47,69,71,10.04,RU,2022-05-19 00:55:47
208,Norman Wells,65.282,-126.8329,39.24,87,100,14.97,CA,2022-05-19 00:55:48
209,Avera,33.194,-82.5271,81.91,45,0,7.49,US,2022-05-19 00:55:48
210,Sorland,67.667,12.6934,42.66,79,13,12.73,NO,2022-05-19 00:55:48
211,Durham,36.0335,-78.8664,77.31,67,61,7.7,US,2022-05-19 00:53:42
212,Meiktila,20.8667,95.8667,82.99,68,11,9.64,MM,2022-05-19 00:55:49
213,Kabalo,-6.05,26.9167,69.04,73,96,3.85,CD,2022-05-19 00:55:49
214,Baker City,44.7749,-117.8344,55.18,62,100,12.62,US,2022-05-19 00:55:50
215,Ilave,-16.0833,-69.6667,40.86,43,9,5.17,PE,2022-05-19 00:55:50
216,Lacolle,45.0834,-73.3659,59.14,74,0,5.17,CA,2022-05-19 00:55:51
217,Sokoto,13.0609,5.239,85.53,10,0,4.45,NG,2022-05-19 00:55:51
218,Henties Bay,-22.116,14.2845,61.63,88,29,5.75,NA,2022-05-19 00:55:52
219,Tezu,27.9167,96.1667,68.56,98,100,2.75,IN,2022-05-19 00:55:52
220,Cherskiy,68.75,161.3,44.44,81,99,5.95,RU,2022-05-19 00:55:53
221,Kajaani,64.2273,27.7285,26.65,86,0,1.14,FI,2022-05-19 00:55:53
222,Troitskoye,52.9821,84.6757,66.4,54,100,7.61,RU,2022-05-19 00:55:53
223,Puerto Cabezas,14.0351,-83.3888,78.76,87,100,9.86,NI,2022-05-19 00:55:54
224,Erenhot,43.6475,111.9767,68.94,21,22,12.35,CN,2022-05-19 00:55:54
225,Lompoc,34.6391,-120.4579,84.02,63,20,12.66,US,2022-05-19 00:56:55
226,Marawi,7.9986,124.2928,78.57,75,89,2.77,PH,2022-05-19 00:56:55
227,Alta,69.9689,23.2717,34.86,75,100,4.61,NO,2022-05-19 00:56:56
228,Batagay-Alyta,67.8006,130.4114,31.87,98,100,3.51,RU,2022-05-19 00:56:56
229,Valparaiso,-33.0393,-71.6273,55.04,82,100,6.91,CL,2022-05-19 00:56:02
230,Zholymbet,51.7433,71.7122,53.26,58,66,15.01,KZ,2022-05-19 00:56:57
231,Crib Point,-38.35,145.2,57.9,77,100,11.81,AU,2022-05-19 00:56:57
232,Goderich,43.7501,-81.7165,53.92,71,100,6.91,CA,2022-05-19 00:55:59
233,Palmer,42.1584,-72.3287,60.21,48,100,1.03,US,2022-05-19 00:55:15
234,Saint Augustine,29.8947,-81.3145,82.06,91,0,11.95,US,2022-05-19 00:56:58
235,Verkhnyaya Maksakovka,61.635,50.9674,35.62,75,100,4.47,RU,2022-05-19 00:56:58
236,Aklavik,68.2191,-135.0107,33.69,88,100,11.83,CA,2022-05-19 00:56:59
237,Panorama,40.5878,23.0315,58.12,53,75,7.0,GR,2022-05-19 00:57:00
